d_max,max_new,equity_mult,coverage,num_stops
600,3,0.0,27579,3
600,3,1.0,31107,3
600,3,2.0,34995,3
600,5,0.0,42986,5
600,5,1.0,48501,5
600,5,2.0,55070,5
600,7,0.0,57519,7
600,7,1.0,65335,7
600,7,2.0,74876,7
805,3,0.0,27579,3
805,3,1.0,31107,3
805,3,2.0,34995,3
805,5,0.0,42986,5
805,5,1.0,48501,5
805,5,2.0,55070,5
805,7,0.0,57519,7
805,7,1.0,65335,7
805,7,2.0,74876,7
1000,3,0.0,27788,3
1000,3,1.0,33639,3
1000,3,2.0,39489,3
1000,5,0.0,44147,5
1000,5,1.0,51700,5
1000,5,2.0,59973,5
1000,7,0.0,59133,7
1000,7,1.0,68927,7
1000,7,2.0,79959,7
